CMDLINE /Users/andrea/anaconda3/envs/General/bin/python3.11 main.py
MEM 5454.156250 1763672354.8253
MEM 5454.156250 1763672354.9304
MEM 5454.156250 1763672355.0354
MEM 5454.156250 1763672355.1404
MEM 5454.156250 1763672355.2455
MEM 5454.156250 1763672355.3497
MEM 5454.156250 1763672355.4548
MEM 5454.156250 1763672355.5598
MEM 5454.156250 1763672355.6628
MEM 5454.156250 1763672355.7678
MEM 5454.156250 1763672355.8704
MEM 5454.156250 1763672355.9755
MEM 5454.156250 1763672356.0805
MEM 5454.156250 1763672356.1856
MEM 5454.156250 1763672356.2906
MEM 5454.156250 1763672356.3956
MEM 5454.156250 1763672356.5007
MEM 5454.156250 1763672356.6057
MEM 5454.156250 1763672356.7107
MEM 5454.156250 1763672356.8158
MEM 5454.156250 1763672356.9208
MEM 5454.156250 1763672357.0259
MEM 5454.156250 1763672357.1309
MEM 5454.156250 1763672357.2360
MEM 5454.156250 1763672357.3410
MEM 5454.156250 1763672357.4461
MEM 5454.156250 1763672357.5511
MEM 5454.156250 1763672357.6562
MEM 5454.156250 1763672357.7613
MEM 5454.156250 1763672357.8663
MEM 5454.156250 1763672357.9714
MEM 5454.156250 1763672358.0764
MEM 5454.156250 1763672358.1767
MEM 5454.156250 1763672358.2817
MEM 5454.156250 1763672358.3867
